Neighborhood Postcode,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Postcode,Venue Postal Outcode,Venue Postal Region
E1,51.51762279999999,-0.0557553,Mouse Tail Coffee Stories,51.51947122770561,-0.0585726686117612,Coffee Shop,E1 5DG,E1,E
E1,51.51762279999999,-0.0557553,Rinkoff's Bakery,51.51996370482293,-0.05323829753250209,Bakery,E1 3AR,E1,E
E1,51.51762279999999,-0.0557553,Genesis Cinema,51.52103553273191,-0.05107330177748035,Movie Theater,E1 4UH,E1,E
E1,51.51762279999999,-0.0557553,The White Hart,51.520244887993286,-0.056384941714467146,Pub,E1 5QH,E1,E
E1,51.51762279999999,-0.0557553,Dirty Burger/Chicken Shop,51.52025320580212,-0.055111778525414115,Burger Joint,E1 4TL,E1,E
E1,51.51762279999999,-0.0557553,Tayyabs,51.51718936865927,-0.06342851969346093,Pakistani Restaurant,E1 1ET,E1,E
E1,51.51762279999999,-0.0557553,Needoo Grill,51.5170700412192,-0.062379116765590076,Indian Restaurant,E1 2BA,E1,E
E1,51.51762279999999,-0.0557553,Efes Restaurant,51.514558490511284,-0.05832354610966134,Turkish Restaurant,E1 2NB,E1,E
E1,51.51762279999999,-0.0557553,Lahore One,51.51472527714818,-0.05939866665757108,Indian Restaurant,E1 2BT,E1,E
E1,51.51762279999999,-0.0557553,Lahore Kebab House,51.51448275170743,-0.0629117079795249,Pakistani Restaurant,E1 1PZ,E1,E
E1,51.51762279999999,-0.0557553,One Mile End,51.52015085843472,-0.05613597319394251,Brewery,E1 4TL,E1,E
E1,51.51762279999999,-0.0557553,Basicsalon,51.52066871804375,-0.05609303712844848,Cosmetics Shop,E1 5QH,E1,E
E1,51.51762279999999,-0.0557553,Indo,51.517758144752285,-0.06553869650430817,Pub,E1 1JG,E1,E
E1,51.51762279999999,-0.0557553,George Tavern,51.5142229021958,-0.05325827172005289,Pub,E1 0LA,E1,E
E1,51.51762279999999,-0.0557553,Stepney Green Park,51.517767899426644,-0.047053584970552384,Park,,E1,
E1,51.51762279999999,-0.0557553,Qbic Hotel,51.51618309196157,-0.06745360023687705,Hotel,E1 1EE,E1,E
E1,51.51762279999999,-0.0557553,Stepney City Farm,51.51700915544558,-0.04299496261936063,Farm,E1 3DG,E1,E
E1,51.51762279999999,-0.0557553,SARA Cafedeli,51.52381699455059,-0.06356533153061507,Coffee Shop,E2 6HR,E2,E
E1,51.51762279999999,-0.0557553,The Pillbox Kitchen,51.52530892375142,-0.057130686846530276,Café,E2 6FZ,E2,E
E1,51.51762279999999,-0.0557553,Zaza's,51.518066279080806,-0.06434022002480312,Indian Restaurant,E1 1DW,E1,E
E1,51.51762279999999,-0.0557553,Crossfit London (New Blackboard Gym),51.5249343012573,-0.0544478999264641,Gym / Fitness Center,E2 0EU,E2,E
E1,51.51762279999999,-0.0557553,Spitalfields City Farm,51.522337042474255,-0.06732425288050245,Farm,E1 5ES,E1,E
E1,51.51762279999999,-0.0557553,Grounded,51.51630678447897,-0.06917875073572693,Coffee Shop,E1 6TY,E1,E
E1,51.51762279999999,-0.0557553,The Stable,51.516957243407695,-0.06771676381300347,Pizza Place,E1 1EW,E1,E
E1,51.51762279999999,-0.0557553,The Horn Of Plenty,51.52279353804424,-0.04701776022085371,Pub,E1 4DX,E1,E
E1,51.51762279999999,-0.0557553,The Dog And Truck,51.51271210492425,-0.06686747074127197,Bar,E1 1LY,E1,E
E1,51.51762279999999,-0.0557553,Holiday Inn London - Whitechapel,51.514754903773856,-0.0572158411172446,Hotel,E1 2FB,E1,E
E1,51.51762279999999,-0.0557553,Sushinoen,51.5160182394666,-0.06920525520322131,Japanese Restaurant,E1 7PL,E1,E
E1,51.51762279999999,-0.0557553,Cookies & Cream,51.5200420449736,-0.055483848099828814,Ice Cream Shop,E1 4TL,E1,E
E1,51.51762279999999,-0.0557553,Stolen Space Gallery,51.51645512028808,-0.07007094909887893,Art Gallery,E1 6TY,E1,E
E1,51.51762279999999,-0.0557553,East London Food Centre,51.51359059787607,-0.04878645969606805,Grocery Store,E1 0HA,E1,E
E1,51.51762279999999,-0.0557553,Efes,51.521652,-0.046892054,Turkish Restaurant,E1 4AQ,E1,E
E1,51.51762279999999,-0.0557553,Weaver's Fields,51.525333214048985,-0.0619053840637207,Park,E2 6HD,E2,E
E1,51.51762279999999,-0.0557553,The Urban Chocolatier,51.5183440713068,-0.06555077455824512,Coffee Shop,E1 5NB,E1,E
E1,51.51762279999999,-0.0557553,Rinkoffs Bakery,51.52217883601613,-0.06408304820500785,Bakery,E1 5BW,E1,E
E1,51.51762279999999,-0.0557553,Efes,51.5161951312114,-0.06968659396281636,Turkish Restaurant,E1 6TY,E1,E
E1,51.51762279999999,-0.0557553,Maureen Paley,51.52537482774445,-0.0557780403851393,Art Gallery,E2 6FG,E2,E
E1,51.51762279999999,-0.0557553,Verdi's,51.52217270227301,-0.0446402904953977,Italian Restaurant,E1 4BJ,E1,E
E1,51.51762279999999,-0.0557553,play on,51.518902010320666,-0.056458819642793194,Recreation Center,E1 2EG,E1,E
E1,51.51762279999999,-0.0557553,SWEET.,51.52180445081102,-0.04700659717844252,Dessert Shop,E1 4AQ,E1,E
E1,51.51762279999999,-0.0557553,Pixxa,51.51646442123059,-0.06926536560058594,Pizza Place,E1 6TY,E1,E
E1,51.51762279999999,-0.0557553,Backyard Comedy Bar & Kitchen,51.52538327760404,-0.0552535057067871,Comedy Club,E2 6FG,E2,E
