Neighborhood Postcode,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Postcode,Venue Postal Outcode,Venue Postal Region
EC1A,51.518251299999996,-0.0990858,Virgin Active,51.517951574944,-0.09765118360519409,Gym / Fitness Center,EC1A 7EE,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Museum of London,51.517565,-0.09685,History Museum,EC1A 4HD,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Postman's Park,51.51685979391399,-0.09764256711433734,Park,EC1A 7BX,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Dose Espresso,51.51955256686316,-0.09940568990321098,Coffee Shop,EC1A 9RQ,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Ask For Janice,51.5191279178009,-0.10037390033325926,Modern European Restaurant,EC1A 7LS,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Oriole,51.51890435770055,-0.10267230860740448,Bar,EC1A 9PT,EC1A,EC
EC1A,51.518251299999996,-0.0990858,The Old Red Cow,51.51960714725316,-0.09915653866018344,Pub,EC1A 9PL,EC1A,EC
EC1A,51.518251299999996,-0.0990858,St Bartholomew the Great (St Bartholomew-the-Great),51.51863075215108,-0.09989039472471607,Church,EC1A 9DS,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Pilpel,51.51519526381051,-0.09846207739921972,Falafel Restaurant,EC4M 7DZ,EC4M,EC
EC1A,51.518251299999996,-0.0990858,St. John Bar and Restaurant,51.520437,-0.101382,English Restaurant,EC1M 4AY,EC1M,EC
EC1A,51.518251299999996,-0.0990858,Club Gascon,51.518541,-0.100462,French Restaurant,EC1A 9DS,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Barbican Art Gallery,51.519799557371044,-0.093968703496289,Art Gallery,EC2Y 8DS,EC2Y,EC
EC1A,51.518251299999996,-0.0990858,Barbican Highwalk,51.518427051779,-0.09505111975997232,Scenic Lookout,EC2Y 8BP,EC2Y,EC
EC1A,51.518251299999996,-0.0990858,Virgin Active,51.5202984,-0.0970355,Gym / Fitness Center,EC1A 4JP,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Barbican Centre,51.51958781702969,-0.09349158207296704,Performing Arts Venue,EC2Y 8BD,EC2Y,EC
EC1A,51.518251299999996,-0.0990858,Christ Church Greyfriars Garden,51.51566979481579,-0.09875984044493062,Garden,EC1A 7BA,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Comptoir Gascon,51.51927049089587,-0.10319208542805022,French Restaurant,EC1M 6HA,EC1M,EC
EC1A,51.518251299999996,-0.0990858,Barbican Concert Hall,51.519632262755046,-0.09366137745382495,Concert Hall,EC2Y 8DS,EC2Y,EC
EC1A,51.518251299999996,-0.0990858,Vinoteca,51.52008495720619,-0.10178042563655973,Wine Bar,EC1M 4AA,EC1M,EC
EC1A,51.518251299999996,-0.0990858,The Rookery Hotel,51.520094284456896,-0.10246411215579364,Hotel,EC1M 6BP,EC1M,EC
EC1A,51.518251299999996,-0.0990858,Foxlow Clerkenwell,51.52148843139056,-0.10176691380336134,Steakhouse,EC1M 4NJ,EC1M,EC
EC1A,51.518251299999996,-0.0990858,Barbican Theatre,51.51972176714491,-0.09360561617624982,Theater,EC2Y 8DS,EC2Y,EC
EC1A,51.518251299999996,-0.0990858,Fabric,51.51957072310755,-0.10221798649715175,Nightclub,EC1M 6HJ,EC1M,EC
EC1A,51.518251299999996,-0.0990858,Workshop Coffee Co.,51.51704515344961,-0.10438342172630034,Coffee Shop,EC1A 2FD,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Benito's Hat,51.52015197412832,-0.10172290903539526,Burrito Place,EC1M 4NT,EC1M,EC
EC1A,51.518251299999996,-0.0990858,The Winemakers Club,51.517156743275265,-0.10505667843648198,Wine Bar,EC1A 2BP,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Polpo,51.520015086440225,-0.10220969379595438,Italian Restaurant,EC1M 6BH,EC1M,EC
EC1A,51.518251299999996,-0.0990858,Bird of Smithfield,51.518404683671065,-0.1026345435981932,English Restaurant,EC1A 9LF,EC1A,EC
EC1A,51.518251299999996,-0.0990858,Pixxa,51.52005286873513,-0.10163158178329468,Pizza Place,EC1M 6PE,EC1M,EC
