Neighborhood Postcode,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Postcode,Venue Postal Outcode,Venue Postal Region
N1,51.541262100000004,-0.08813879999999999,De Beauvoir Deli,51.54146375146707,-0.08500048997609841,Deli / Bodega,N1 3JD,N1,N
N1,51.541262100000004,-0.08813879999999999,Rosemary Gardens,51.53854140853689,-0.08763313293457031,Park,N1 3DU,N1,N
N1,51.541262100000004,-0.08813879999999999,Trade Coffee,51.54356413619246,-0.09046860871847784,Café,N1 3PB,N1,N
N1,51.541262100000004,-0.08813879999999999,Sutton and Sons,51.54430793405494,-0.08944991691099295,Fish & Chips Shop,N1 3PD,N1,N
N1,51.541262100000004,-0.08813879999999999,De Beauvoir Arms,51.541709540855095,-0.08501086786043545,Gastropub,N1 3NX,N1,N
N1,51.541262100000004,-0.08813879999999999,Rosemary Branch Theatre and Pub,51.53740940546848,-0.086802106095955,Pub,N1 3DT,N1,N
N1,51.541262100000004,-0.08813879999999999,The Scolt Head,51.54313085292598,-0.08159007600007173,Pub,N1 4EZ,N1,N
N1,51.541262100000004,-0.08813879999999999,Sweet Thursday,51.54113072763463,-0.0852039623123525,Italian Restaurant,N1 3JD,N1,N
N1,51.541262100000004,-0.08813879999999999,N1 Garden Centre,51.54269868721898,-0.08086715808318624,Garden Center,N1 4EU,N1,N
N1,51.541262100000004,-0.08813879999999999,New River Walk,51.545145005213996,-0.09396932923215959,Trail,N1 2FN,N1,N
N1,51.541262100000004,-0.08813879999999999,Marquess Tavern,51.543113528165996,-0.09542773622055105,Gastropub,N1 2TB,N1,N
N1,51.541262100000004,-0.08813879999999999,MG Fitness,51.538302947884794,-0.08542799350363668,Gym / Fitness Center,N1 5EZ,N1,N
N1,51.541262100000004,-0.08813879999999999,The Hunter S,51.545904,-0.083541,Pub,N1 3HT,N1,N
N1,51.541262100000004,-0.08813879999999999,Regent's Canal (Kingsland Road),51.5369663429994,-0.08137531914632064,Canal,N1 5QG,N1,N
N1,51.541262100000004,-0.08813879999999999,Towpath Cafe,51.537169,-0.08118,Coffee Shop,N1 5RY,N1,N
N1,51.541262100000004,-0.08813879999999999,Myddleton Arms,51.5417212619542,-0.09784740723840467,Pub,N1 2HF,N1,N
N1,51.541262100000004,-0.08813879999999999,Akari,51.540630621528756,-0.09582973009562311,Japanese Restaurant,N1 8LZ,N1,N
N1,51.541262100000004,-0.08813879999999999,The Talbot,51.54269307271866,-0.07914967347346327,Pub,N1 4JY,N1,N
N1,51.541262100000004,-0.08813879999999999,The Lord Clyde,51.54379153202822,-0.09013674433839769,Pub,N1 2YG,N1,N
N1,51.541262100000004,-0.08813879999999999,Salut!,51.54582604063006,-0.08743332803863783,Modern European Restaurant,N1 3GH,N1,N
N1,51.541262100000004,-0.08813879999999999,El Inca Plebeyo,51.540025389275925,-0.09685674354578128,Latin American Restaurant,N1 8LY,N1,N
N1,51.541262100000004,-0.08813879999999999,Arepa & Co,51.53704712357173,-0.08014676693820937,Arepa Restaurant,N1 5TZ,N1,N
N1,51.541262100000004,-0.08813879999999999,Saponara,51.53687523712736,-0.09612145254292304,Italian Restaurant,N1 8QD,N1,N
N1,51.541262100000004,-0.08813879999999999,Raabs The Bakers,51.539462940929226,-0.09776832486951217,Bakery,N1 2SP,N1,N
N1,51.541262100000004,-0.08813879999999999,Pophams,51.53666577092601,-0.09617513945083765,Café,N1 8PT,N1,N
N1,51.541262100000004,-0.08813879999999999,Toconoco,51.53831041914553,-0.07809806013779773,Udon Restaurant,N1 5QT,N1,N
N1,51.541262100000004,-0.08813879999999999,Steve Hatt,51.53858794839484,-0.09904121479314358,Fish Market,N1 8LU,N1,N
N1,51.541262100000004,-0.08813879999999999,Smokehouse,51.54266538232297,-0.09972963075119065,Pub,N1 2AJ,N1,N
N1,51.541262100000004,-0.08813879999999999,De Beauvoir Square,51.54117057649492,-0.07881402969360352,Plaza,N1 4LE,N1,N
N1,51.541262100000004,-0.08813879999999999,The Life Centre Islington,51.538055727558145,-0.09917056229039065,Yoga Studio,N1 8PA,N1,N
N1,51.541262100000004,-0.08813879999999999,Chick 'n' Sours,51.54129192010584,-0.0763088119457662,Fried Chicken Joint,E8 4AA,E8,E
N1,51.541262100000004,-0.08813879999999999,Regent's Canal Towpath (St Pancras),51.53442121232678,-0.09360151979685864,Trail,N1 7BA,N1,N
N1,51.541262100000004,-0.08813879999999999,The Barge House,51.53711763685975,-0.08096412953458468,Café,N1 5RY,N1,N
N1,51.541262100000004,-0.08813879999999999,Rotorino,51.542259813335924,-0.07616785138442264,Italian Restaurant,N1 4LN,N1,N
N1,51.541262100000004,-0.08813879999999999,Tin Cafe,51.54076590804516,-0.0762001449337988,Café,E8 4EJ,E8,E
N1,51.541262100000004,-0.08813879999999999,Ray Stitch Haberdashery Shop and Café,51.53843244328264,-0.09925789892367093,Hobby Shop,N1 2SJ,N1,N
N1,51.541262100000004,-0.08813879999999999,Salvation in Noodles,51.54661781755066,-0.08339734412217722,Vietnamese Restaurant,N1 4AE,N1,N
N1,51.541262100000004,-0.08813879999999999,The North by Northwest,51.53757777489615,-0.0912586530909335,Gastropub,N1 7BJ,N1,N
N1,51.541262100000004,-0.08813879999999999,Shoreditch Park,51.53453407827495,-0.08668869725489854,Park,N1 5JN,N1,N
N1,51.541262100000004,-0.08813879999999999,The Place,51.54452205933113,-0.09783678738851845,Coffee Shop,N1 2NQ,N1,N
N1,51.541262100000004,-0.08813879999999999,Andu's cafe,51.544519836475736,-0.07590621890118691,Ethiopian Restaurant,N1 4EP,N1,N
N1,51.541262100000004,-0.08813879999999999,The Bill Murray,51.53622641765042,-0.09875024400395076,Pub,N1 8NN,N1,N
N1,51.541262100000004,-0.08813879999999999,Pamela,51.54211265763084,-0.07624339545144332,Cocktail Bar,E8 4AA,E8,E
N1,51.541262100000004,-0.08813879999999999,The Duke of Wellington,51.54629725613998,-0.08068035635604037,Pub,N1 4DT,N1,N
N1,51.541262100000004,-0.08813879999999999,2 and 4 Cafe,51.53770484013577,-0.08637204181026804,Coffee Shop,N1 3JJ,N1,N
N1,51.541262100000004,-0.08813879999999999,The Canonbury Tavern,51.544634011126114,-0.0976465584686841,Pub,N1 2NS,N1,N
N1,51.541262100000004,-0.08813879999999999,Planet Organic,51.537966952053225,-0.09967632951781946,Organic Grocery,N1 8LR,N1,N
N1,51.541262100000004,-0.08813879999999999,Haggerston Espresso Room (HER),51.53906882010986,-0.07767664953592701,Coffee Shop,N1 5AA,N1,N
N1,51.541262100000004,-0.08813879999999999,Newington Green Fruit & Vegetables,51.54988938731332,-0.08695619070115966,Fruit & Vegetable Store,N1 4QY,N1,N
N1,51.541262100000004,-0.08813879999999999,Brilliant Corners,51.543052113757874,-0.07605766473544201,Lounge,E8 4AE,E8,E
N1,51.541262100000004,-0.08813879999999999,Berber & Q,51.53688177314958,-0.0759714166092262,Middle Eastern Restaurant,E8 4FA,E8,E
N1,51.541262100000004,-0.08813879999999999,The New Rose,51.538411657008865,-0.09918905232860771,Pub,N1 8LT,N1,N
N1,51.541262100000004,-0.08813879999999999,Ottolenghi,51.539715736121565,-0.10231434330256582,Mediterranean Restaurant,N1 2TZ,N1,N
N1,51.541262100000004,-0.08813879999999999,Draughts,51.53702007987583,-0.07583584637380379,Gaming Cafe,E8 4EB,E8,E
N1,51.541262100000004,-0.08813879999999999,The Snooty Fox,51.549159192191546,-0.09176787130898303,Pub,N5 2NS,N5,N
N1,51.541262100000004,-0.08813879999999999,Zaffrani's,51.53925523720228,-0.10120195226035689,Indian Restaurant,N1 2DP,N1,N
N1,51.541262100000004,-0.08813879999999999,The Alma,51.54834527096817,-0.08750085138074477,Pub,N1 4RN,N1,N
N1,51.541262100000004,-0.08813879999999999,Yida Sushi,51.54667605229675,-0.09924157807255826,Sushi Restaurant,N1 2LJ,N1,N
N1,51.541262100000004,-0.08813879999999999,Paper Mache Tiger,51.53910362282791,-0.10029584169387817,Boutique,N1 2BG,N1,N
N1,51.541262100000004,-0.08813879999999999,Flashback Records,51.53764585204391,-0.10005494400651446,Record Shop,N1 2SF,N1,N
N1,51.541262100000004,-0.08813879999999999,Bread & Butter,51.53954530428352,-0.07686319305325764,Restaurant,E8 4DE,E8,E
N1,51.541262100000004,-0.08813879999999999,MAP Maison,51.538662874203794,-0.07679759251495646,Lounge,E8 4DL,E8,E
N1,51.541262100000004,-0.08813879999999999,Shep’s,51.541387,-0.076079,Korean Restaurant,E8 4AA,E8,E
N1,51.541262100000004,-0.08813879999999999,Little Angel Theatre,51.53875877049495,-0.10129533420847975,Theater,N1 2DN,N1,N
N1,51.541262100000004,-0.08813879999999999,Crossfit Hackney,51.53787523008864,-0.07519215144437759,Gym,E8 4ED,E8,E
N1,51.541262100000004,-0.08813879999999999,Lucky Chip,51.53726994181427,-0.10052886763768511,Burger Joint,N1 2SZ,N1,N
N1,51.541262100000004,-0.08813879999999999,Angel Delicatessen,51.53938401095071,-0.10156301246237182,Deli / Bodega,N1 2BA,N1,N
N1,51.541262100000004,-0.08813879999999999,Better Health Bakery,51.53737581949785,-0.07519187505727991,Bakery,E8 4ED,E8,E
N1,51.541262100000004,-0.08813879999999999,Subtitles Café,51.54615902980276,-0.07773519964987409,Café,N1 4AU,N1,N
N1,51.541262100000004,-0.08813879999999999,Three Sheets,51.54394457552004,-0.07603142574610672,Cocktail Bar,E8 4AB,E8,E
N1,51.541262100000004,-0.08813879999999999,Beer + Burger,51.542883,-0.076012,Burger Joint,E8 4AE,E8,E
N1,51.541262100000004,-0.08813879999999999,Che-Men Cafe & Restaurat,51.543483815605306,-0.07601778258979809,Coffee Shop,E8 4AE,E8,E
N1,51.541262100000004,-0.08813879999999999,The Old Queens Head,51.5372319,-0.1004195,Gastropub,N1 2SZ,N1,N
N1,51.541262100000004,-0.08813879999999999,The Haggerston,51.54237832017292,-0.07611555251552317,Pub,N1 4LN,N1,N
N1,51.541262100000004,-0.08813879999999999,52A Coffee Shop,51.53955613440515,-0.08542441250808218,Deli / Bodega,N1 3JR,N1,N
N1,51.541262100000004,-0.08813879999999999,The Glory,51.536227501276755,-0.07696607518019667,Gay Bar,E2 8AT,E2,E
N1,51.541262100000004,-0.08813879999999999,Oi Vita Pizzeria,51.548096,-0.087289475,Pizza Place,N1 4QT,N1,N
N1,51.541262100000004,-0.08813879999999999,Spring Rose Cafe,51.54106507576169,-0.08521319221964554,Café,N1 3JD,N1,N
