Neighborhood Postcode,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Postcode,Venue Postal Outcode,Venue Postal Region
SE1,51.50183269999999,-0.090951,Soho Gyms,51.500684867885965,-0.09066194401223396,Gym / Fitness Center,SE1 4NA,SE1,SE
SE1,51.50183269999999,-0.090951,Mouse Tail Coffee,51.501846,-0.09220697,Coffee Shop,SE1 1JA,SE1,SE
SE1,51.50183269999999,-0.090951,Honest Burgers,51.50471648123458,-0.09113132437077628,Burger Joint,SE1 1RQ,SE1,SE
SE1,51.50183269999999,-0.090951,Empire Square,51.50066022779575,-0.09104098899853427,Residential Building (Apartment / Condo),SE1 4NH,SE1,SE
SE1,51.50183269999999,-0.090951,Edwins Borough,51.50100106524273,-0.09351750730282662,Restaurant,SE1 1JD,SE1,SE
SE1,51.50183269999999,-0.090951,Padella,51.50507754661503,-0.0897817219098917,Italian Restaurant,SE1 1TQ,SE1,SE
SE1,51.50183269999999,-0.090951,Kappacasein Dairy,51.504945715828725,-0.09067715776791353,Food Stand,SE1 1TS,SE1,SE
SE1,51.50183269999999,-0.090951,The Gladstone Arms,51.50096055081825,-0.09503092331812046,Pub,SE1 1EA,SE1,SE
SE1,51.50183269999999,-0.090951,Borough Market,51.50545423221316,-0.09018180097588738,Market,SE1 9AL,SE1,SE
SE1,51.50183269999999,-0.090951,Neal's Yard Dairy,51.50543821400243,-0.09147352390458788,Cheese Shop,SE1 9AD,SE1,SE
SE1,51.50183269999999,-0.090951,Monmouth Coffee Company,51.505536,-0.09148,Coffee Shop,SE1 9AD,SE1,SE
SE1,51.50183269999999,-0.090951,Richard Haward's Oysters,51.50541222968203,-0.0910470950642226,Seafood Restaurant,SE1 1TL,SE1,SE
SE1,51.50183269999999,-0.090951,Porteña,51.50540875418928,-0.09100416010614616,Empanada Restaurant,SE1 1TL,SE1,SE
SE1,51.50183269999999,-0.090951,George Inn,51.504313242373996,-0.08987134251140834,Pub,SE1 1NF,SE1,SE
SE1,51.50183269999999,-0.090951,The Gentlemen Baristas,51.503849,-0.094635,Coffee Shop,SE1 1SG,SE1,SE
SE1,51.50183269999999,-0.090951,Gelateria 3BIS,51.505437,-0.091528,Ice Cream Shop,SE1 9AD,SE1,SE
SE1,51.50183269999999,-0.090951,The Shangri-La Hotel,51.504228186702214,-0.08637489156145262,Hotel,SE1 9BS,SE1,SE
SE1,51.50183269999999,-0.090951,Wright Brothers Oyster & Porter House,51.505662,-0.091577,Seafood Restaurant,SE1 9AD,SE1,SE
SE1,51.50183269999999,-0.090951,The Breakfast Club,51.50474611851586,-0.09134665483466015,Breakfast Spot,SE1 1RQ,SE1,SE
SE1,51.50183269999999,-0.090951,Champor Champor,51.50246850738028,-0.0856180163976266,Asian Restaurant,SE1 3QJ,SE1,SE
SE1,51.50183269999999,-0.090951,Applebee's,51.505119124722434,-0.09082128082449194,Seafood Restaurant,SE1 9AA,SE1,SE
SE1,51.50183269999999,-0.090951,'O ver,51.504846,-0.09405,Italian Restaurant,SE1 9HW,SE1,SE
SE1,51.50183269999999,-0.090951,Rabot 1745,51.50542421885417,-0.08986669746066742,Restaurant,SE1 9AL,SE1,SE
SE1,51.50183269999999,-0.090951,Boot & Flogger,51.50419031536338,-0.09335351658386874,Wine Bar,SE1 1TA,SE1,SE
SE1,51.50183269999999,-0.090951,Red Cross Garden,51.50306336951771,-0.09456996058041892,Garden,SE1 1EX,SE1,SE
SE1,51.50183269999999,-0.090951,La Tua Pasta,51.50566664207693,-0.09095830467525759,Italian Restaurant,SE1 1TL,SE1,SE
SE1,51.50183269999999,-0.090951,Patty & Bun,51.505253,-0.089253,Burger Joint,SE1 9SF,SE1,SE
SE1,51.50183269999999,-0.090951,Tapas Brindisa,51.50489007310666,-0.09049775702159765,Tapas Restaurant,SE1 1TS,SE1,SE
SE1,51.50183269999999,-0.090951,Utobeer,51.50549249414265,-0.09089587550224827,Beer Store,SE1 1TL,SE1,SE
SE1,51.50183269999999,-0.090951,Flat Iron Square,51.504505,-0.09503603,Street Food Gathering,SE1 0NQ,SE1,SE
SE1,51.50183269999999,-0.090951,The View from The Shard,51.50448958543588,-0.08653992658875216,Scenic Lookout,SE1 9QU,SE1,SE
SE1,51.50183269999999,-0.090951,The Miller,51.50224534467074,-0.08750862412721934,Pub,SE1 3SS,SE1,SE
SE1,51.50183269999999,-0.090951,Omeara London,51.50419779638297,-0.09458048564384829,Music Venue,SE1 1TD,SE1,SE
SE1,51.50183269999999,-0.090951,Gourmet Goat,51.50560274340781,-0.09081795608121829,Mediterranean Restaurant,SE1 1TL,SE1,SE
SE1,51.50183269999999,-0.090951,Bread Ahead,51.505254126023836,-0.09036764881093769,Bakery,SE1 1TS,SE1,SE
SE1,51.50183269999999,-0.090951,Caravan Bankside,51.50453327171197,-0.09691316619897597,Coffee Shop,SE1 0HL,SE1,SE
SE1,51.50183269999999,-0.090951,Duddell's,51.50498917593683,-0.0885104500761026,Cantonese Restaurant,SE1 9RY,SE1,SE
SE1,51.50183269999999,-0.090951,Oblix at The Shard,51.504243041341056,-0.08637805787116971,Restaurant,SE1 9BS,SE1,SE
SE1,51.50183269999999,-0.090951,The Rake,51.50612335281753,-0.0910899352289138,Pub,SE1 9AG,SE1,SE
SE1,51.50183269999999,-0.090951,Scotchtails,51.50558739522327,-0.09052435885066905,Food Truck,SE1 1TL,SE1,SE
SE1,51.50183269999999,-0.090951,Terry's Cafe,51.500715,-0.098314,Diner,SE1 0DT,SE1,SE
SE1,51.50183269999999,-0.090951,Flat Cap Coffee Co.,51.50549761433381,-0.08952567417642207,Coffee Shop,SE1 9AW,SE1,SE
SE1,51.50183269999999,-0.090951,The Lord Clyde,51.502671161225116,-0.09574403571452744,Pub,SE1 1ER,SE1,SE
SE1,51.50183269999999,-0.090951,Alex Monroe Jewellery,51.50217792851145,-0.08487582206726074,Jewelry Store,SE1 3SZ,SE1,SE
SE1,51.50183269999999,-0.090951,Lobos Meat and Tapas,51.50552851885818,-0.08905410547954783,Tapas Restaurant,SE1 9SE,SE1,SE
SE1,51.50183269999999,-0.090951,Boro Bistro,51.505967504935256,-0.08872409110956164,Bistro,SE1 9QQ,SE1,SE
SE1,51.50183269999999,-0.090951,GŎNG Bar,51.50341198045932,-0.0848543643951416,Hotel Bar,SE1 3QD,SE1,SE
SE1,51.50183269999999,-0.090951,Leathermarket Gardens,51.50065519633729,-0.08373856544494629,Garden,SE1 3HP,SE1,SE
