Neighborhood Postcode,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Postcode,Venue Postal Outcode,Venue Postal Region
W1B,51.518535799999995,-0.1420878,Homeslice,51.51847684708113,-0.13999606534701844,Pizza Place,W1T 3PR,W1T,W
W1B,51.518535799999995,-0.1420878,The Langham,51.517801045370746,-0.1439927644804584,Hotel,W1B 1JA,W1B,W
W1B,51.518535799999995,-0.1420878,Kaffeine,51.51845746813275,-0.14047892160812275,Coffee Shop,W1W 7QJ,W1W,W
W1B,51.518535799999995,-0.1420878,Workshop Coffee Co.,51.51745739585802,-0.14250965393277512,Coffee Shop,W1W 7FE,W1W,W
W1B,51.518535799999995,-0.1420878,Regent Street Cinema,51.51685235133446,-0.1426574390316932,Movie Theater,W1B 3AU,W1B,W
W1B,51.518535799999995,-0.1420878,The Wigmore,51.51749883890858,-0.1432781519672517,Pub,W1B 2QS,W1B,W
W1B,51.518535799999995,-0.1420878,Bonnie Gull Seafood Shack,51.51934665823996,-0.14008928735069942,Seafood Restaurant,W1W 6DR,W1W,W
W1B,51.518535799999995,-0.1420878,Scandinavian Kitchen,51.518806969978364,-0.1407584619952256,Scandinavian Restaurant,W1W 7PP,W1W,W
W1B,51.518535799999995,-0.1420878,Roux at The Landau,51.51758517473519,-0.14390825706050236,French Restaurant,W1B 1JA,W1B,W
W1B,51.518535799999995,-0.1420878,Artesian,51.517909633192026,-0.1436784576720811,Hotel Bar,W1B 1JA,W1B,W
W1B,51.518535799999995,-0.1420878,Psycle,51.51750152644822,-0.14221288913805985,Cycle Studio,W1W 7SU,W1W,W
W1B,51.518535799999995,-0.1420878,Portland Restaurant,51.51982141808416,-0.14261222723306768,Restaurant,W1W 6PR,W1W,W
W1B,51.518535799999995,-0.1420878,Kin Cafe,51.51933546241874,-0.1402594466149772,Coffee Shop,W1W 6DS,W1W,W
W1B,51.518535799999995,-0.1420878,Curators Coffee Gallery,51.51660246208554,-0.14164611956339276,Coffee Shop,W1W 8SQ,W1W,W
W1B,51.518535799999995,-0.1420878,Burger & Lobster,51.51727050476959,-0.14093635138153907,Seafood Restaurant,W1W 7JE,W1W,W
