Neighborhood Postcode,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Postcode,Venue Postal Outcode,Venue Postal Region
WC1A,51.51790020000001,-0.12296869999999999,The Hoxton Hotel,51.51737378890881,-0.12227414519594333,Hotel,WC1V 6PX,WC1V,WC
WC1A,51.51790020000001,-0.12296869999999999,Abeno,51.51744706211849,-0.1251682412880507,Okonomiyaki Restaurant,WC1A 2SE,WC1A,WC
WC1A,51.51790020000001,-0.12296869999999999,London Review Bookshop,51.51848537875849,-0.1243692539734231,Bookstore,WC1A 2JL,WC1A,WC
WC1A,51.51790020000001,-0.12296869999999999,Drury 188-189,51.51606000719529,-0.12411071051324417,Café,WC2B 5QD,WC2B,WC
WC1A,51.51790020000001,-0.12296869999999999,Chicken Shop,51.51741454820214,-0.12229128684982028,Wings Joint,WC1V 6PX,WC1V,WC
WC1A,51.51790020000001,-0.12296869999999999,British Museum,51.519078403392214,-0.12677208649635993,History Museum,WC1B 3DD,WC1B,WC
WC1A,51.51790020000001,-0.12296869999999999,Scarfes Bar,51.51781314398572,-0.11818441766647803,Hotel Bar,WC1V 6BH,WC1V,WC
WC1A,51.51790020000001,-0.12296869999999999,James Smith & Sons,51.51690237907405,-0.12684293852274278,Accessories Store,WC1A 1BL,WC1A,WC
WC1A,51.51790020000001,-0.12296869999999999,Royal Mile Whiskies,51.51716169075045,-0.12709745658404187,Liquor Store,WC1B 3SR,WC1B,WC
WC1A,51.51790020000001,-0.12296869999999999,The Craft Beer Co.,51.51575827252237,-0.12619345122012288,Pub,WC2H 9DN,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,The Black Penny,51.51519097792153,-0.12154506230333152,Coffee Shop,WC2B 5AA,WC2B,WC
WC1A,51.51790020000001,-0.12296869999999999,Top Secret Comedy,51.5153842464309,-0.12320203003363296,Comedy Club,WC2B 5AF,WC2B,WC
WC1A,51.51790020000001,-0.12296869999999999,The Egyptian Exhibition,51.519400891828084,-0.12689243886948395,Exhibit,WC1B 3DG,WC1B,WC
WC1A,51.51790020000001,-0.12296869999999999,Rosewood London,51.51746842846652,-0.11781017238253777,Hotel,WC1V 7EN,WC1V,WC
WC1A,51.51790020000001,-0.12296869999999999,Mirror Room,51.517444492054985,-0.11782356015108676,Restaurant,WC1V 7EN,WC1V,WC
WC1A,51.51790020000001,-0.12296869999999999,The Rosetta Stone,51.51930249302989,-0.12741642202692655,Exhibit,WC1B 3DG,WC1B,WC
WC1A,51.51790020000001,-0.12296869999999999,Bloch,51.51492066152523,-0.12236699439600206,Sporting Goods Shop,WC2B 5QG,WC2B,WC
WC1A,51.51790020000001,-0.12296869999999999,Holborn Dining Room,51.517493,-0.117541,English Restaurant,WC1V 7EN,WC1V,WC
WC1A,51.51790020000001,-0.12296869999999999,Sir John Soane's Museum,51.51683252722464,-0.1175400405817299,History Museum,WC2A 3BP,WC2A,WC
WC1A,51.51790020000001,-0.12296869999999999,The Hospital Club,51.51475188104656,-0.12471199035644531,Performing Arts Venue,WC2H 9HQ,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Forbidden Planet,51.515082376271316,-0.12712597846984863,Comic Shop,WC2H 8JR,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Kanada-Ya,51.515503,-0.127539,Ramen Restaurant,WC2H 8DA,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Freud,51.515496229012065,-0.12690673161130292,Cocktail Bar,WC2H 8JL,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Homeslice,51.514528749695046,-0.12647486836273653,Pizza Place,WC2H 9DP,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Neal's Yard,51.5144435925274,-0.12641346209909118,Plaza,WC2H 9ER,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Barrafina,51.51441724037805,-0.12176794571673841,Tapas Restaurant,WC2B 5AJ,WC2B,WC
WC1A,51.51790020000001,-0.12296869999999999,Monmouth Coffee Company,51.514314,-0.126824,Coffee Shop,WC2H 9DD,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Magma,51.514595709450674,-0.12534382465199853,Gift Shop,WC2H 9AB,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,The Barbary,51.5144455494199,-0.12637048890103447,Mediterranean Restaurant,WC2H 9ER,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,26 Grains,51.514464201174384,-0.1264241495882965,Breakfast Spot,WC2H 9ER,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Hotel Chocolat,51.51476668150518,-0.12689823550440518,Chocolate Shop,WC2H 8JB,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Covent Garden Hotel,51.514508552855006,-0.12691045435875517,Hotel,WC2H 9LF,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Nuffield Health Fitness & Wellbeing Gym,51.51415625004893,-0.12390816109064977,Gym,WC2H 9EL,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Russell Square,51.52177463018556,-0.1260657566622182,Plaza,,WC2H,
WC1A,51.51790020000001,-0.12296869999999999,Dominion Theatre,51.516932077408875,-0.12964902622482774,Theater,W1T 7AQ,W1T,W
WC1A,51.51790020000001,-0.12296869999999999,Lincoln's Inn Fields,51.51611390655047,-0.11655807495117188,Park,,W1T,
WC1A,51.51790020000001,-0.12296869999999999,Dr. Martens,51.513746690739524,-0.12486914389241684,Shoe Store,WC2H 9PU,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Kastner & Ovens,51.51344414651399,-0.12255614942563876,Deli / Bodega,WC2E 7AH,WC2E,WC
WC1A,51.51790020000001,-0.12296869999999999,Neal's Yard Dairy,51.514236756702125,-0.12616917430475794,Cheese Shop,WC2H 9AW,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,The Tea House,51.51362061083395,-0.12464211361385549,Tea Room,WC2H 9LY,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Royal Opera House,51.513206844029995,-0.12228616214722184,Opera House,WC2E 9DD,WC2E,WC
WC1A,51.51790020000001,-0.12296869999999999,Hawksmoor Seven Dials,51.5134516085432,-0.1259591855545978,Steakhouse,WC2H 9JG,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Pineapple Dance Studios,51.51340828745767,-0.12529016729606288,Dance Studio,WC2H 9JA,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,AllSaints,51.51370408399953,-0.123361690411062,Clothing Store,WC2E 9JL,WC2E,WC
WC1A,51.51790020000001,-0.12296869999999999,Noble Rot,51.521879770610425,-0.11859634989517259,Restaurant,WC1N 3NB,WC1N,WC
WC1A,51.51790020000001,-0.12296869999999999,Seven Dials,51.51377899123422,-0.12694797135579944,Neighborhood,WC2H 9EW,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Flat Iron,51.515134,-0.129545,Steakhouse,WC2H 8LS,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Rosie & Joe,51.515531601195185,-0.1286823075453627,Coffee Shop,WC2H 8LG,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,The Espresso Room,51.52191,-0.119774714,Coffee Shop,WC1N 3JL,WC1N,WC
WC1A,51.51790020000001,-0.12296869999999999,Hakkasan,51.51722297794206,-0.13083490819357613,Chinese Restaurant,WC1B 3NQ,WC1B,WC
WC1A,51.51790020000001,-0.12296869999999999,Udderlicious,51.51372011564273,-0.12741111080853307,Ice Cream Shop,WC2H 9QS,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,"Theatre Royal, Drury Lane",51.513066778067355,-0.12030367354297458,Theater,WC2B 5JF,WC2B,WC
WC1A,51.51790020000001,-0.12296869999999999,London Graphic Centre,51.51330472277616,-0.12625820333868554,Arts & Crafts Store,WC2H 9JR,WC2H,WC
WC1A,51.51790020000001,-0.12296869999999999,Matilda The Musical,51.5135510106328,-0.12652100430843066,Theater,WC2H 9HU,WC2H,WC
